source_concept_id,source_label,target_uri,target_label,relation,confidence,source_url,source_version
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/0b95eb5d-f3eb-4387-a0bb-094a394196c7,kylmedel,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/128f318e-1bc8-4921-821f-b0aad1d98922,fastställa ett lämpligt system för värme och kyla,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/17446f6d-d8b0-4945-a37b-9ad0dfc9f3e8,utforma ett soldrivet absorptionkylsystem,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/1e3222fa-724d-41f0-9b0a-e88d1003cd35,utföra en genomförbarhetsstudie av solbaserad absorptionskylning,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/465af498-53b1-4e04-9f49-7458afb59274,designa utrustning för allmännyttiga tjänster,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/60032986-43ac-4c26-a830-c825f3fa205a,utforma system för fjärrvärme och fjärrkyla,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/8844808b-5788-4872-ba15-d3cfa4d9ddaf,kontrollera utrustning för kylsystem,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/9c071f1d-eac3-449d-b004-c14775b5a3b9,maskinteknik,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/9ccb56ee-3d5f-4d48-8692-8f96fe1e4adb,soldrivet absorptionskylsystem,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/ab1cb4c3-8a39-4e26-aa53-6e0680eb08dc,kylsystem för bostäder,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/ef010091-ddce-410d-9864-9276ef6fe390,fjärrvärme och fjärrkyla,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11L4_Q2Z_8tM,Kylteknik,http://data.europa.eu/esco/skill/f2071535-4da0-4253-a548-920d170b80e0,designa termoutrustning,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
11rR_H3J_EQQ,Stålkonstruktion,http://data.europa.eu/esco/skill/cc173f61-3386-44c5-a048-3889e1ec9114,byggmetoder,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1223_u6p_gjG,Kärnfysik,http://data.europa.eu/esco/skill/f3baae75-145e-40dd-b5ff-b8fe40c5fcbd,kärnfysik,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
13ad_dCC_Tn6,"OOS, styr- och utvecklingsmodell",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,datorprogrammering,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
14eq_XTy_BPB,Omsorgsutbildning/Omvårdnadsutbildning,http://data.europa.eu/esco/skill/39dd50ae-814c-4a15-99e9-39afcc36bf9f,rättsliga krav inom den sociala sektorn,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
14eq_XTy_BPB,Omsorgsutbildning/Omvårdnadsutbildning,http://data.europa.eu/esco/skill/4e097377-7950-4993-9e22-a61b067b5c00,samhällsvetenskap,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
14eq_XTy_BPB,Omsorgsutbildning/Omvårdnadsutbildning,http://data.europa.eu/esco/skill/e97c0d89-2f81-4840-8602-e668a949482f,social rättvisa,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
15CG_P9S_4vS,Naturmedicin,http://data.europa.eu/esco/skill/104f5817-978e-419a-a32b-5b5ccfc0f3bb,kompletterande och alternativ medicin,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
15CG_P9S_4vS,Naturmedicin,http://data.europa.eu/esco/skill/26f0eeee-512b-4357-84f7-17d11b16007e,traditionell kinesisk medicin,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
15Ls_W35_xzh,Finmekanik,http://data.europa.eu/esco/skill/2fea2558-630e-480d-9e12-47a05bc19b55,finmekanik,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
15aN_ATt_Rb2,2D-grafik-Corel Paint Shop Pro,http://data.europa.eu/esco/skill/a71577b2-7550-4222-88ee-dcbd2d881516,grafikredigeringsprogramvara,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17Uy_FAd_BRr,Hälsoinformatik,http://data.europa.eu/esco/skill/3e8e862d-2f1a-40c6-bb6d-d1d7eeb78854,analysera storskaliga data inom hälso- och sjukvården,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17Uy_FAd_BRr,Hälsoinformatik,http://data.europa.eu/esco/skill/ad008df3-dcaf-45ee-8892-2319a3b66c98,ha uppsikt över användningen av kliniska informationssystem,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17Uy_FAd_BRr,Hälsoinformatik,http://data.europa.eu/esco/skill/b21e2984-c6b2-4352-bbe8-8f3b03bd50f6,medicinsk informationsteknik,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17Uy_FAd_BRr,Hälsoinformatik,http://data.europa.eu/esco/skill/cc69175e-c35d-4494-8844-e71385ccce4a,använda främmande språk i hälsorelaterad forskning,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17Uy_FAd_BRr,Hälsoinformatik,http://data.europa.eu/esco/skill/cf0b92de-4bd0-46ee-b383-7765b4cbcac9,diagnoskodning,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17Uy_FAd_BRr,Hälsoinformatik,http://data.europa.eu/esco/skill/f022b5ff-8496-4722-a7a3-ef3c072f01f6,utföra klinisk kodning,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17Uy_FAd_BRr,Hälsoinformatik,http://data.europa.eu/esco/skill/fb82ae25-b59f-43fd-aacf-a8308afbe85e,hälsoinformatik,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
17YF_AnH_VvA,Repro,http://data.europa.eu/esco/skill/10c42c72-ecaa-414c-a014-7e97fcecae8d,reproduktionsteknik,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
198V_mFe_MP6,Osteologi,http://data.europa.eu/esco/skill/09529105-30ab-4b92-b394-18a8607a57c8,osteologi,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
19PK_uxU_Wzy,"Bower, pakethanterare",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,datorprogrammering,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1AXt_ijw_q2B,"Comal, programmeringsspråk",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,datorprogrammering,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1AhX_Du2_VPY,Sjukhusstädning,http://data.europa.eu/esco/skill/329d7233-7231-4082-8ca4-0b5e295785aa,avlägsna damm,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1AhX_Du2_VPY,Sjukhusstädning,http://data.europa.eu/esco/skill/4f1b6304-f54a-42f0-9604-5427a28d240f,utföra städuppgifter,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
